TaxonName,Genus,Species,InfraType1,InfraName1,InfraType2,InfraName2,InfraType3,InfraName3,FamilyEx,AccCount,CountryCount,ImageCount
× Angulocaste × Lycaste uniflora × skinneri,× Angulocaste,× Lycaste uniflora × skinneri,,,,,,,Orchidaceae,1,0,0
× Aranda sp.,× Aranda,sp.,,,,,,,Orchidaceae,1,1,0
× Ascocenda × Vanda yip Sum Wah × coerulea,× Ascocenda,× Vanda yip Sum Wah × coerulea,,,,,,,Orchidaceae,1,0,0
× Ascocenda peggy Foo,× Ascocenda,peggy Foo,,,,,,,Orchidaceae,1,0,0
× Ascocenda sp.,× Ascocenda,sp.,,,,,,,Orchidaceae,1,0,0
× Ascocenda sp. Yip Sum Wah gx,× Ascocenda,sp.,gx,Yip Sum Wah,,,,,Orchidaceae,1,0,0
× Brassidium sp. Gilded Urchin gx,× Brassidium,sp.,gx,Gilded Urchin,,,,,Orchidaceae,1,0,0
× Brassocattleya lindleyana,× Brassocattleya,lindleyana,,,,,,,Orchidaceae,1,0,0
× Brassocattleya sp. Digbyano-mossiae gx,× Brassocattleya,sp.,gx,Digbyano-mossiae,,,,,Orchidaceae,2,0,0
× Brassocattleya sp. Heaven's Sake gx,× Brassocattleya,sp.,gx,Heaven's Sake,,,,,Orchidaceae,1,0,0
× Brassocattleya sp. Holfordii gx,× Brassocattleya,sp.,gx,Holfordii,,,,,Orchidaceae,1,0,0
× Brassocattleya sp. Sea Urchin gx,× Brassocattleya,sp.,gx,Sea Urchin,,,,,Orchidaceae,1,0,0
× Brassolaeliocattleya sp. Memoria Crispin Rosales gx 'Teddy',× Brassolaeliocattleya,sp.,gx,Memoria Crispin Rosales,,,,,Orchidaceae,1,0,0
× Brassolaeliocattleya sp. Spangles gx,× Brassolaeliocattleya,sp.,gx,Spangles,,,,,Orchidaceae,1,0,0
× Cattleytonia kieth Roth × Broughtonia sanguinea,× Cattleytonia,kieth Roth × Broughtonia sanguinea,,,,,,,Orchidaceae,1,0,0
× Chitalpa tashkentensis Pink Dawn,× Chitalpa,tashkentensis,,,,,,,Bignoniaceae,20,0,0
× Colmanara sp. Wildcatt gx,× Colmanara,sp.,gx,Wildcatt,,,,,Orchidaceae,1,0,0
× Dialaelia snowflake,× Dialaelia,snowflake,,,,,,,Orchidaceae,1,0,0
× Doritaenopsis sp.,× Doritaenopsis,sp.,,,,,,,Orchidaceae,1,0,0
× Doritaenopsis sp. Malibu Queen gx,× Doritaenopsis,sp.,gx,Malibu Queen,,,,,Orchidaceae,1,0,0
× Doritaenopsis sp. var. Dunbar,× Doritaenopsis,sp.,var.,Dunbar,,,,,Orchidaceae,1,0,0
× Graptoveria sp. Fred Ives gx,× Graptoveria,sp.,gx,Fred Ives,,,,,Crassulaceae,1,0,0
× Kirchara (Slc. Shimonishi × Epi. Joseph Lii),× Kirchara,(Slc. Shimonishi × Epi. Joseph Lii),,,,,,,Orchidaceae,1,0,0
× Laeliocattleya glad Tidings,× Laeliocattleya,glad Tidings,,,,,,,Orchidaceae,1,0,0
× Laeliocattleya marie Speransky,× Laeliocattleya,marie Speransky,,,,,,,Orchidaceae,1,0,0
× Laeliocattleya purpurata var. carnea,× Laeliocattleya,purpurata,var.,carnea,,,,,Orchidaceae,1,0,0
× Laeliocattleya sp.,× Laeliocattleya,sp.,,,,,,,Orchidaceae,2,0,0
× Laeliocattleya sp. C G Roebling gx,× Laeliocattleya,sp.,gx,C G Roebling,,,,,Orchidaceae,1,0,0
× Laeliocattleya sp. Clayton Wagley gx,× Laeliocattleya,sp.,gx,Clayton Wagley,,,,,Orchidaceae,1,0,0
× Laeliocattleya sp. Schilleriana gx,× Laeliocattleya,sp.,gx,Schilleriana,,,,,Orchidaceae,1,0,0
× Laeliocattleya sp. Wrigleyi gx,× Laeliocattleya,sp.,gx,Wrigleyi,,,,,Orchidaceae,1,0,0
× Neostylis Lou Sneary,× Neostylis,Lou Sneary,,,,,,,Orchidaceae,1,0,0
× Neostylis sp. Lou Sneary gx,× Neostylis,sp.,gx,Lou Sneary,,,,,Orchidaceae,1,0,0
× Northenara sp. Rebecca gx,× Northenara,sp.,gx,Rebecca,,,,,Orchidaceae,1,0,0
× Odontioda debutante 'Oxbow',× Odontioda,debutante,,,,,,,Orchidaceae,1,0,0
× Odontioda pacheco,× Odontioda,pacheco,,,,,,,Orchidaceae,1,0,0
× Odontocidium sp. Sierra Gold gx 'Finch',× Odontocidium,sp.,gx,Sierra Gold,,,,,Orchidaceae,1,0,0
× Opsistylis sp. Memorial Mary Nattras gx,× Opsistylis,sp.,gx,Memorial Mary Nattras,,,,,Orchidaceae,2,0,0
× Renanetia sp.,× Renanetia,sp.,,,,,,,Orchidaceae,1,0,0
× Renantanda sp.,× Renantanda,sp.,,,,,,,Orchidaceae,1,0,0
× Sophrolaelia sp. Psyche gx 'Prolific',× Sophrolaelia,sp.,gx,Psyche,,,,,Orchidaceae,1,0,0
× Sophrolaeliocattleya Jewel Box Greens gx,× Sophrolaeliocattleya,Jewel Box,gx,Greens,,,,,Orchidaceae,1,0,0
× Sophrolaeliocattleya sp. Jewel Box gx 'Scheherazade',× Sophrolaeliocattleya,sp.,gx,Jewel Box,,,,,Orchidaceae,1,0,0
× Wilsonara Jean Du Pont,× Wilsonara,Jean Du Pont,,,,,,,Orchidaceae,1,0,0
Abelia grandiflora 'Edward Goucher',Abelia,grandiflora,,,,,,,Caprifoliaceae,1,0,0
Abies abramsii,Abies,abramsii,,,,,,,Pinaceae,1,0,0
Abies bracteata,Abies,bracteata,,,,,,,Pinaceae,1,0,0
Abies concolor,Abies,concolor,,,,,,,Pinaceae,4,0,0
Abies durangensis subsp. coahuilensis,Abies,durangensis,subsp.,coahuilensis,,,,,Pinaceae,1,0,0
Abies equi-trojani,Abies,equi-trojani,,,,,,,Pinaceae,1,0,0
Abies firma,Abies,firma,,,,,,,Pinaceae,2,0,0
Abies fraseri,Abies,fraseri,,,,,,,Pinaceae,1,0,0
Abies koreana,Abies,koreana,,,,,,,Pinaceae,1,0,0
Abies nordmanniana,Abies,nordmanniana,,,,,,,Pinaceae,1,0,1
Abies numidica,Abies,numidica,,,,,,,Pinaceae,1,0,0
Abies pindrow,Abies,pindrow,,,,,,,Pinaceae,1,0,0
Abies pinsapo,Abies,pinsapo,,,,,,,Pinaceae,1,0,0
Abies sachalinensis,Abies,sachalinensis,,,,,,,Pinaceae,2,0,0
Abies vejarii,Abies,vejarii,,,,,,,Pinaceae,1,0,0
Abromeitiella brevifolia,Abromeitiella,brevifolia,,,,,,,Bromeliaceae,1,0,0
Abronia maritima,Abronia,maritima,,,,,,,Nyctaginaceae,2,1,0
Abronia umbellata var. umbellata,Abronia,umbellata,var.,umbellata,,,,,Nyctaginaceae,1,1,0
Abronia villosa var. villosa,Abronia,villosa,var.,villosa,,,,,Nyctaginaceae,1,1,0
Abutilon,Abutilon,,,,,,,,Malvaceae,1,0,0
Abutilon palmeri,Abutilon,palmeri,,,,,,,Malvaceae,2,0,0
Abutilon sachetianum,Abutilon,sachetianum,,,,,,,Malvaceae,1,0,0
Acacia,Acacia,,,,,,,,Fabaceae,1,0,0
Acacia abyssinica,Acacia,abyssinica,,,,,,,Fabaceae,1,0,0
Acacia albida,Acacia,albida,,,,,,,Fabaceae,6,1,0
Acacia amythethophylla,Acacia,amythethophylla,,,,,,,Fabaceae,2,0,0
Acacia aneura,Acacia,aneura,,,,,,,Fabaceae,1,0,0
Acacia arborteae,Acacia,arborteae,,,,,,,Fabaceae,2,0,0
Acacia auriculiformis,Acacia,auriculiformis,,,,,,,Fabaceae,1,0,0
Acacia baileyana,Acacia,baileyana,,,,,,,Fabaceae,7,0,0
Acacia baileyana purpurea,Acacia,baileyana,,,,,,,Fabaceae,24,0,0
Acacia baileyana 'Purpurea',Acacia,baileyana,,,,,,,Fabaceae,2,0,0
Acacia boormanii,Acacia,boormanii,,,,,,,Fabaceae,1,0,0
Acacia brevispica,Acacia,brevispica,,,,,,,Fabaceae,1,0,0
Acacia burkei,Acacia,burkei,,,,,,,Fabaceae,2,0,0
Acacia caffra,Acacia,caffra,,,,,,,Fabaceae,3,0,0
Acacia catechu,Acacia,catechu,,,,,,,Fabaceae,1,0,0
Acacia cornigera,Acacia,cornigera,,,,,,,Fabaceae,1,0,0
Acacia covenyi,Acacia,covenyi,,,,,,,Fabaceae,1,0,0
Acacia craspedocarpa,Acacia,craspedocarpa,,,,,,,Fabaceae,1,0,0
Acacia crassicarpa,Acacia,crassicarpa,,,,,,,Fabaceae,1,0,0
Acacia cultriformis,Acacia,cultriformis,,,,,,,Fabaceae,2,0,0
Acacia cyclops,Acacia,cyclops,,,,,,,Fabaceae,1,0,0
Acacia cyperophylla,Acacia,cyperophylla,,,,,,,Fabaceae,1,0,0
Acacia drepanolobium,Acacia,drepanolobium,,,,,,,Fabaceae,3,0,0
Acacia dunnii,Acacia,dunnii,,,,,,,Fabaceae,1,0,0
Acacia erioloba,Acacia,erioloba,,,,,,,Fabaceae,8,0,0
Acacia erubescens,Acacia,erubescens,,,,,,,Fabaceae,1,0,0
Acacia  farnesiana,Acacia,farnesiana,,,,,,,Fabaceae,2,0,2
Acacia farnesiana,Acacia,farnesiana,,,,,,,Fabaceae,2,0,0
Acacia fleckii,Acacia,fleckii,,,,,,,Fabaceae,1,0,0
Acacia floribunda,Acacia,floribunda,,,,,,,Fabaceae,1,0,0
Acacia galpinii,Acacia,galpinii,,,,,,,Fabaceae,4,0,0
Acacia glaucoptera,Acacia,glaucoptera,,,,,,,Fabaceae,2,0,0
Acacia goetzei,Acacia,goetzei,,,,,,,Fabaceae,1,0,0
Acacia greggii,Acacia,greggii,,,,,,,Fabaceae,2,0,0
Acacia hakeoides,Acacia,hakeoides,,,,,,,Fabaceae,1,0,0
Acacia hindsii,Acacia,hindsii,,,,,,,Fabaceae,1,0,0
Acacia iteaphylla,Acacia,iteaphylla,,,,,,,Fabaceae,1,0,0
Acacia karroo,Acacia,karroo,,,,,,,Fabaceae,6,0,0
Acacia kempeana,Acacia,kempeana,,,,,,,Fabaceae,1,0,0
Acacia koa,Acacia,koa,,,,,,,Fabaceae,4,0,0
Acacia latifolia,Acacia,latifolia,,,,,,,Fabaceae,2,0,0
Acacia leiophylla,Acacia,leiophylla,,,,,,,Fabaceae,1,0,0
Acacia leudertzii var. leudertzii,Acacia,leudertzii,var.,leudertzii,,,,,Fabaceae,1,0,0
Acacia linifolia,Acacia,linifolia,,,,,,,Fabaceae,1,0,0
Acacia longifolia,Acacia,longifolia,,,,,,,Fabaceae,28,0,0
Acacia macracantha,Acacia,macracantha,,,,,,,Fabaceae,3,1,0
Acacia mangium,Acacia,mangium,,,,,,,Fabaceae,1,0,0
Acacia melanoxylon,Acacia,melanoxylon,,,,,,,Fabaceae,17,0,0
Acacia merinthophora,Acacia,merinthophora,,,,,,,Fabaceae,2,0,0
Acacia modesta,Acacia,modesta,,,,,,,Fabaceae,1,0,0
Acacia nilotica,Acacia,nilotica,,,,,,,Fabaceae,2,0,0
Acacia nilotica subsp. tomentosa,Acacia,nilotica,subsp.,tomentosa,,,,,Fabaceae,2,0,0
Acacia pendula,Acacia,pendula,,,,,,,Fabaceae,13,0,0
Acacia pennatula,Acacia,pennatula,,,,,,,Fabaceae,1,0,0
Acacia podalyriifolia,Acacia,podalyriifolia,,,,,,,Fabaceae,5,0,0
Acacia pulchella,Acacia,pulchella,,,,,,,Fabaceae,1,1,0
Acacia racospermoides,Acacia,racospermoides,,,,,,,Fabaceae,1,0,0
Acacia redolens,Acacia,redolens,,,,,,,Fabaceae,1,0,0
Acacia salicina,Acacia,salicina,,,,,,,Fabaceae,6,0,0
Acacia saligna,Acacia,saligna,,,,,,,Fabaceae,1,0,0
Acacia schaffneri,Acacia,schaffneri,,,,,,,Fabaceae,1,0,0
Acacia schweinfurthii,Acacia,schweinfurthii,,,,,,,Fabaceae,4,0,0
Acacia senegal,Acacia,senegal,,,,,,,Fabaceae,1,0,0
Acacia senegal var. rostrata,Acacia,senegal,var.,rostrata,,,,,Fabaceae,1,0,0
Acacia seyal,Acacia,seyal,,,,,,,Fabaceae,2,0,0
Acacia sieberiana var. woodii,Acacia,sieberiana,var.,woodii,,,,,Fabaceae,5,0,0
Acacia sp unknown,Acacia,sp unknown,,,,,,,Fabaceae,13,0,13
Acacia sp.,Acacia,sp.,,,,,,,Fabaceae,3,0,1
Acacia sp. 'Pecoff Verde',Acacia,sp.,,,,,,,Fabaceae,1,0,0
Acacia spectabilis,Acacia,spectabilis,,,,,,,Fabaceae,1,0,0
Acacia stenophylla,Acacia,stenophylla,,,,,,,Fabaceae,42,0,0
Acacia subporosa,Acacia,subporosa,,,,,,,Fabaceae,2,0,0
Acacia subporosa 'Emerald Cascade',Acacia,subporosa,,,,,,,Fabaceae,1,0,0
Acacia terminalis,Acacia,terminalis,,,,,,,Fabaceae,1,0,0
Acacia tetragonophylla,Acacia,tetragonophylla,,,,,,,Fabaceae,1,0,0
Acacia tortilis,Acacia,tortilis,,,,,,,Fabaceae,1,0,0
Acacia tortilis subsp. heteracantha,Acacia,tortilis,subsp.,heteracantha,,,,,Fabaceae,2,0,0
Acacia vestita,Acacia,vestita,,,,,,,Fabaceae,2,0,0
Acacia willardiana,Acacia,willardiana,,,,,,,Fabaceae,1,0,0
Acacia xanthophloea,Acacia,xanthophloea,,,,,,,Fabaceae,9,0,0
Acalypha californica,Acalypha,californica,,,,,,,Euphorbiaceae,2,0,1
Acalypha repens,Acalypha,repens,,,,,,,Euphorbiaceae,1,0,0
Acalypha wilkesiana,Acalypha,wilkesiana,,,,,,,Euphorbiaceae,1,0,0
Acampe pachyglossa,Acampe,pachyglossa,,,,,,,Orchidaceae,1,0,0
Acamptopappus sphaerocephalus var. sphaerocephalus,Acamptopappus,sphaerocephalus,var.,sphaerocephalus,,,,,Asteraceae,2,1,0
Acanthomintha ilicifolia,Acanthomintha,ilicifolia,,,,,,,Lamiaceae,13,1,0
Acanthophoenix crinita,Acanthophoenix,crinita,,,,,,,Arecaceae,1,0,0
Acanthophoenix rubra,Acanthophoenix,rubra,,,,,,,Arecaceae,1,0,0
Acanthostachys strobilacea,Acanthostachys,strobilacea,,,,,,,Bromeliaceae,1,0,0
Acca sellowiana 'Nazometz',Acca,sellowiana,,,,,,,Myrtaceae,1,0,0
Acca sellowiana 'Triask',Acca,sellowiana,,,,,,,Myrtaceae,1,0,0
Acer buergeranum,Acer,buergeranum,,,,,,,Sapindaceae,1,0,0
Acer macrophyllum,Acer,macrophyllum,,,,,,,Sapindaceae,4,0,0
Acer negundo,Acer,negundo,,,,,,,Sapindaceae,3,0,0
Acer palmatum 'Atropurpureum',Acer,palmatum,,,,,,,Sapindaceae,1,0,0
Acer saccarinum,Acer,saccarinum,,,,,,,Sapindaceae,1,0,0
Acer sketchii,Acer,sketchii,,,,,,,Sapindaceae,1,0,0
Acer truncatum,Acer,truncatum,,,,,,,Sapindaceae,1,0,0
Achillea millefolium,Achillea,millefolium,,,,,,,Asteraceae,7,1,0
Achillea millefolium var. glandulosa,Achillea,millefolium,var.,glandulosa,,,,,Asteraceae,3,0,0
Achnatherum coronatum,Achnatherum,coronatum,,,,,,,Poaceae,2,0,0
Achnatherum lemmoni,Achnatherum,lemmoni,,,,,,,Poaceae,1,0,0
Acianthera leptotifolia,Acianthera,leptotifolia,,,,,,,Orchidaceae,1,0,0
Acianthera luteola,Acianthera,luteola,,,,,,,Orchidaceae,1,0,0
Acianthera pectinata,Acianthera,pectinata,,,,,,,Orchidaceae,1,0,0
Acianthera pectinata var. alba,Acianthera,pectinata,var.,alba,,,,,Orchidaceae,1,0,0
Acianthera polystachya,Acianthera,polystachya,,,,,,,Orchidaceae,1,0,0
Acineta chrysantha,Acineta,chrysantha,,,,,,,Orchidaceae,2,1,0
Acineta superba,Acineta,superba,,,,,,,Orchidaceae,1,0,0
Acmena smithii,Acmena,smithii,,,,,,,Myrtaceae,1,0,0
Acmena smithii var. minor,Acmena,smithii,var.,minor,,,,,Myrtaceae,1,0,0
Acmispon americanus var. americanus,Acmispon,americanus,var.,americanus,,,,,Fabaceae,6,1,0
Acmispon argophyllus var. argophyllus,Acmispon,argophyllus,var.,argophyllus,,,,,Fabaceae,2,1,0
Acmispon glaber var. brevialatus,Acmispon,glaber,var.,brevialatus,,,,,Fabaceae,14,1,0
Acmispon glaber var. glaber,Acmispon,glaber,var.,glaber,,,,,Fabaceae,5,1,0
Acmispon heermannii var. heermannii,Acmispon,heermannii,var.,heermannii,,,,,Fabaceae,1,1,0
Acmispon maritimus var. brevivexillus,Acmispon,maritimus,var.,brevivexillus,,,,,Fabaceae,3,1,0
Acmispon micranthus,Acmispon,micranthus,,,,,,,Fabaceae,2,1,0
Acmispon prostratus,Acmispon,prostratus,,,,,,,Fabaceae,4,1,0
Acmispon rigidus,Acmispon,rigidus,,,,,,,Fabaceae,2,1,0
Acmispon strigosus,Acmispon,strigosus,,,,,,,Fabaceae,6,1,0
Acnistus arborescens,Acnistus,arborescens,,,,,,,Solanaceae,1,0,0
Acoelorrhaphe wrightii,Acoelorrhaphe,wrightii,,,,,,,Arecaceae,2,0,0
Acokanthera oppositifolia,Acokanthera,oppositifolia,,,,,,,Apocynaceae,1,0,0
Acorus gramineus 'Variegatus',Acorus,gramineus,,,,,,,Acoraceae,1,0,0
Acourtia microcephala,Acourtia,microcephala,,,,,,,Asteraceae,9,1,0
Acrocarpus fraxinifolius,Acrocarpus,fraxinifolius,,,,,,,Fabaceae,4,0,0
Acrocomia aculeata,Acrocomia,aculeata,,,,,,,Arecaceae,1,0,0
Acrocomia totai,Acrocomia,totai,,,,,,,Arecaceae,1,0,0
Actinidia arguta,Actinidia,arguta,,,,,,,Actinidiaceae,1,0,0
Actinidia sp.,Actinidia,sp.,,,,,,,Actinidiaceae,1,0,0
Actinokentia divaricata,Actinokentia,divaricata,,,,,,,Arecaceae,1,0,0
Actinostrobus pyramidalis,Actinostrobus,pyramidalis,,,,,,,Cupressaceae,1,0,1
Ada aurantiaca,Ada,aurantiaca,,,,,,,Orchidaceae,1,0,0
Adansonia digitata,Adansonia,digitata,,,,,,,Malvaceae,3,0,0
Adansonia grandidieri,Adansonia,grandidieri,,,,,,,Malvaceae,2,0,1
Adansonia gregorii,Adansonia,gregorii,,,,,,,Malvaceae,1,0,0
Adansonia madagascariensis,Adansonia,madagascariensis,,,,,,,Malvaceae,2,0,0
Adansonia perrieri,Adansonia,perrieri,,,,,,,Malvaceae,1,0,0
Adansonia rubrostipa,Adansonia,rubrostipa,,,,,,,Malvaceae,2,0,0
Adansonia unknown,Adansonia,unknown,,,,,,,Malvaceae,3,0,3
Adansonia za,Adansonia,za,,,,,,,Malvaceae,1,0,0
Adenanthera sp.,Adenanthera,sp.,,,,,,,Fabaceae,1,0,0
Adenia olaboensis,Adenia,olaboensis,,,,,,,Passifloraceae,1,0,0
"Adenium arabicum form ""shada""",Adenium,arabicum,,,,,,,Apocynaceae,3,0,3
Adenium arabicum shada somalense,Adenium,arabicum shada somalense,,,,,,,Apocynaceae,2,0,0
Adenium boehmianum,Adenium,boehmianum,,,,,,,Apocynaceae,1,0,0
Adenium boehmianum obesum,Adenium,boehmianum obesum,,,,,,,Apocynaceae,1,0,0
Adenium multiflorum,Adenium,multiflorum,,,,,,,Apocynaceae,1,0,0
Adenium obesum,Adenium,obesum,,,,,,,Apocynaceae,3,0,0
Adenium obesum subsp. Boehmianum,Adenium,obesum,subsp.,Boehmianum,,,,,Apocynaceae,1,0,1
Adenium obesum subsp. swazicum,Adenium,obesum,subsp.,swazicum,,,,,Apocynaceae,4,0,4
Adenium sedifolium,Adenium,sedifolium,,,,,,,Apocynaceae,1,0,0
Adenium swazicum,Adenium,swazicum,,,,,,,Apocynaceae,1,0,0
Adenium swazicum obessum,Adenium,swazicum obessum,,,,,,,Apocynaceae,1,0,0
Adenophyllum porophylloides,Adenophyllum,porophylloides,,,,,,,Asteraceae,4,1,0
Adenostoma fasciculatum,Adenostoma,fasciculatum,,,,,,,Rosaceae,28,1,0
Adenostoma sparsifolium,Adenostoma,sparsifolium,,,,,,,Rosaceae,10,1,0
Adiantum pedatum,Adiantum,pedatum,,,,,,,Pteridaceae,1,0,0
Adolphia californica,Adolphia,californica,,,,,,,Rhamnaceae,3,1,0
Adonidia merrillii,Adonidia,merrillii,,,,,,,Arecaceae,2,0,0
Adromischus cristatus,Adromischus,cristatus,,,,,,,Crassulaceae,1,0,0
Adromischus cristatus 'poellnitzianus',Adromischus,cristatus,,,,,,,Crassulaceae,1,0,0
Adromischus filicaulis,Adromischus,filicaulis,,,,,,,Crassulaceae,1,0,0
Adromischus sp,Adromischus,sp,,,,,,,Crassulaceae,1,0,1
Adromischus umbraticola,Adromischus,umbraticola,,,,,,,Crassulaceae,1,0,0
Aechmea bromeliifolia,Aechmea,bromeliifolia,,,,,,,Bromeliaceae,2,0,0
Aechmea bromeliifolia ×,Aechmea,bromeliifolia ×,,,,,,,Bromeliaceae,1,0,0
Aechmea caudata,Aechmea,caudata,,,,,,,Bromeliaceae,1,0,0
Aechmea caudata var. variegata,Aechmea,caudata,var.,variegata,,,,,Bromeliaceae,1,0,0
Aechmea comata var. makoyana,Aechmea,comata,var.,makoyana,,,,,Bromeliaceae,2,0,0
Aechmea comata 'variegata',Aechmea,comata,,,,,,,Bromeliaceae,2,0,0
Aechmea distichantha,Aechmea,distichantha,,,,,,,Bromeliaceae,2,0,0
Aechmea distichantha var. distichantha,Aechmea,distichantha,var.,distichantha,,,,,Bromeliaceae,1,0,0
Aechmea distichantha var. glaziovii,Aechmea,distichantha,var.,glaziovii,,,,,Bromeliaceae,1,0,0
Aechmea distichantha var. schlumbergerii,Aechmea,distichantha,var.,schlumbergerii,,,,,Bromeliaceae,1,0,0
Aechmea fasciata,Aechmea,fasciata,,,,,,,Bromeliaceae,3,0,0
Aechmea fasciata var. variegata,Aechmea,fasciata,var.,variegata,,,,,Bromeliaceae,1,0,0
Aechmea fosteriana,Aechmea,fosteriana,,,,,,,Bromeliaceae,1,0,0
Aechmea fulgens var. discolor,Aechmea,fulgens,var.,discolor,,,,,Bromeliaceae,1,0,0
Aechmea gamosepala,Aechmea,gamosepala,,,,,,,Bromeliaceae,1,0,0
Aechmea mulfordii,Aechmea,mulfordii,,,,,,,Bromeliaceae,1,0,0
Aechmea nudicaulis,Aechmea,nudicaulis,,,,,,,Bromeliaceae,1,0,0
Aechmea orlandiana,Aechmea,orlandiana,,,,,,,Bromeliaceae,2,0,0
Aechmea orlandiana 'Bert',Aechmea,orlandiana,,,,,,,Bromeliaceae,1,0,0
Aechmea orlandiana 'Ensign',Aechmea,orlandiana,,,,,,,Bromeliaceae,1,0,0
Aechmea ornata var. hoeheana,Aechmea,ornata,var.,hoeheana,,,,,Bromeliaceae,1,0,0
Aechmea ornata var. nationalis,Aechmea,ornata,var.,nationalis,,,,,Bromeliaceae,1,0,0
Aechmea ornata var. ornata,Aechmea,ornata,var.,ornata,,,,,Bromeliaceae,1,0,0
Aechmea pectinata,Aechmea,pectinata,,,,,,,Bromeliaceae,1,0,0
Aechmea pimenti-velosoi,Aechmea,pimenti-velosoi,,,,,,,Bromeliaceae,1,0,0
Aechmea pineleana var. minuta,Aechmea,pineleana,var.,minuta,,,,,Bromeliaceae,1,0,0
Aechmea pineleana var. pineleana,Aechmea,pineleana,var.,pineleana,,,,,Bromeliaceae,1,0,0
Aechmea recurvata,Aechmea,recurvata,,,,,,,Bromeliaceae,1,0,0
Aechmea recurvata va,Aechmea,recurvata,var.,,,,,,Bromeliaceae,1,0,0
Aechmea recurvata var. benrathii,Aechmea,recurvata,var.,benrathii,,,,,Bromeliaceae,2,0,0
Aechmea recurvata var. ortgiesii,Aechmea,recurvata,var.,ortgiesii,,,,,Bromeliaceae,4,0,0
Aechmea sp. Ares gx,Aechmea,sp.,gx,Ares,,,,,Bromeliaceae,1,0,0
Aechmea triticina,Aechmea,triticina,,,,,,,Bromeliaceae,2,0,0
Aechmea warasii,Aechmea,warasii,,,,,,,Bromeliaceae,1,0,0
Aechmea warasii var. discolor,Aechmea,warasii,var.,discolor,,,,,Bromeliaceae,1,0,0
Aeonium canariense,Aeonium,canariense,,,,,,,Crassulaceae,1,0,0
Aeonium haworthii,Aeonium,haworthii,,,,,,,Crassulaceae,1,0,0
Aeonium leucoblepharum,Aeonium,leucoblepharum,,,,,,,Crassulaceae,3,0,0
Aeonium lindleyi,Aeonium,lindleyi,,,,,,,Crassulaceae,1,0,0
Aeonium sedifolium,Aeonium,sedifolium,,,,,,,Crassulaceae,1,0,0
Aeonium sp.,Aeonium,sp.,,,,,,,Crassulaceae,2,0,0
Aerangis brachycarpa 'Wolhaupter',Aerangis,brachycarpa,,,,,,,Orchidaceae,1,0,0
Aerangis fastuosa,Aerangis,fastuosa,,,,,,,Orchidaceae,1,0,0
Aerangis luteo-alba var. rhodasticta,Aerangis,luteo-alba,var.,rhodasticta,,,,,Orchidaceae,1,0,0
Aerangis sp. Amando Vasquez gx,Aerangis,sp.,gx,Amando Vasquez,,,,,Orchidaceae,1,0,0
Aeranthes × Angraecum ramosa × schottianium,Aeranthes,× Angraecum ramosa × schottianium,,,,,,,Orchidaceae,1,0,0
Aerides lawrenceae 'Merienda Lane',Aerides,lawrenceae,,,,,,,Orchidaceae,1,0,0
Aerides odorata,Aerides,odorata,,,,,,,Orchidaceae,5,0,0
Aesculus californica,Aesculus,californica,,,,,,,Sapindaceae,6,0,0
Aesculus indica,Aesculus,indica,,,,,,,Sapindaceae,1,0,0
Afrocarpus,Afrocarpus,,,,,,,,Podocarpaceae,5,0,0
Afrocarpus dawei,Afrocarpus,dawei,,,,,,,Podocarpaceae,1,1,0
Afrocarpus falcatus,Afrocarpus,falcatus,,,,,,,Podocarpaceae,23,0,0
Afzelia quanzensis,Afzelia,quanzensis,,,,,,,Fabaceae,16,0,0
Agapanthus africanus,Agapanthus,africanus,,,,,,,Amaryllidaceae,1,0,0
Agapanthus africanus 'Hinag',Agapanthus,africanus,,,,,,,Amaryllidaceae,1,0,0
Agathis australis,Agathis,australis,,,,,,,Araucariaceae,2,0,0
Agathis robusta,Agathis,robusta,,,,,,,Araucariaceae,7,0,1
Agave americana,Agave,americana,,,,,,,Asparagaceae,1,0,1
Agave attenuata,Agave,attenuata,,,,,,,Asparagaceae,1,0,0
Agave attenuata 'Variegata',Agave,attenuata,,,,,,,Asparagaceae,1,0,0
Agave bracteosa,Agave,bracteosa,,,,,,,Asparagaceae,1,0,0
Agave cerulata,Agave,cerulata,,,,,,,Asparagaceae,43,0,34
Agave datylio,Agave,datylio,,,,,,,Asparagaceae,1,0,1
Agave datylio var. vexans,Agave,datylio,var.,vexans,,,,,Asparagaceae,6,0,4
Agave  deserti,Agave,deserti,,,,,,,Asparagaceae,20,0,16
Agave deserti,Agave,deserti,,,,,,,Asparagaceae,15,0,8
Agave deserti var. deserti,Agave,deserti,var.,deserti,,,,,Asparagaceae,1,1,0
Agave desmettiana 'variegata',Agave,desmettiana,,,,,,,Asparagaceae,1,0,0
Agave franzosinii,Agave,franzosinii,,,,,,,Asparagaceae,1,0,0
Agave guiengola,Agave,guiengola,,,,,,,Asparagaceae,4,0,0
Agave marmorata,Agave,marmorata,,,,,,,Asparagaceae,1,0,0
Agave ocahui,Agave,ocahui,,,,,,,Asparagaceae,1,1,0
Agave ocahui × undetermined 'Blue Glow',Agave,ocahui × undetermined,,,,,,,Asparagaceae,1,0,0
Agave parrasana,Agave,parrasana,,,,,,,Asparagaceae,1,0,0
Agave polianthiflora,Agave,polianthiflora,,,,,,,Asparagaceae,1,0,0
Agave potatorum (dwarf),Agave,potatorum (dwarf),,,,,,,Asparagaceae,1,0,0
